date,yhat,lower_95,upper_95,deterministic_part,residual_part,Nivel base,Calendario semanal,Calendario mensual,Festivos y moviles,Estacionalidad anual,Regimen y tendencia
2024-12-01,1479869.583738091,1316382.9853711016,1723739.2930706942,1461804.6060878974,18064.977650193498,13.668261249210278,-0.24698677288896995,0.2283189707627114,0.0,0.20424229267041832,0.3413472063247136
2024-12-02,2478878.3569770404,2273579.230329014,2937101.306874466,2620765.7170357,-141887.3600586597,13.668261249210278,0.3354395840462007,0.23816602707565518,0.0,0.19562280496603765,0.3414878077183111
2024-12-03,2646672.6567012984,2394856.066880347,3108912.544817543,2748463.2619179543,-101790.60521665588,13.668261249210278,0.39320817196972785,0.23730389302187072,0.0,0.1861513956746641,0.341628153563162
2024-12-04,2748068.8841491635,2479786.1631129724,3231266.624225014,2849367.1402379326,-101298.25608876906,13.668261249210278,0.4181816818772549,0.25852114799730985,0.0,0.17587549954082582,0.34176824385926585
2024-12-05,2564459.5834686523,2265127.4118964714,2928187.109206459,2601376.5552438437,-36916.97177519137,13.668261249210278,0.41991922985257363,0.2576590139435254,-0.08104485423442892,0.16484897424328343,0.34190807860662353
2024-12-06,1687404.5338282306,1351413.5318369367,1830590.21640551,1504441.4767919092,182963.05703632138,13.668261249210278,0.039861104019978603,0.25679687988974087,-0.23616564643434992,0.15313169572732852,0.3420476578052335
2024-12-07,1909780.9003549803,1651885.9352467882,2077477.1063435057,1820367.6752851633,89413.22506981692,13.668261249210278,0.007377529269410085,0.2559347458359564,0.0,0.1407891016059414,0.3421869814550973
2024-12-08,1422020.7236212664,1177064.1851876192,1688467.2308818635,1395121.6378789872,26899.08574227919,13.668261249210278,-0.2450587154509786,0.25507261178217183,0.0,0.12789168673389872,0.3423260495562138
2024-12-09,2416650.7396930708,2192321.7275163643,2806434.993941217,2503689.0390379066,-87038.2993448358,13.668261249210278,0.3565937559905039,0.2514418944192367,0.0,0.11451445548464884,0.3424648621085842
2024-12-10,2536266.8940935913,2282943.082072821,2915325.245671258,2586502.3668184457,-50235.47272485448,13.668261249210278,0.4036367057837319,0.2505797603654522,0.0,0.1007363356421308,0.34260341911220704
2024-12-11,2521004.766400452,2260052.695013743,2919832.827146452,2585789.5393995605,-64784.77299910877,13.668261249210278,0.4181816818772549,0.2497176263116677,0.0,0.08663955915514357,0.34274172056708374
2024-12-12,2508933.151226484,2234524.301477072,2884467.80783461,2551582.623198397,-42649.471971912775,13.668261249210278,0.41991922985257363,0.2488554922578832,0.0,0.07230901528738953,0.34287976647321294
2024-12-13,2547436.684673097,2225106.2545776377,2850608.39626169,2537540.365971927,9896.31870116992,13.668261249210278,0.4296024578858589,0.24799335820409868,0.0,0.0578315819293331,0.34301755683059554
2024-12-14,1724416.1679762197,1478140.8708485472,1881472.6500949326,1638382.323562385,86033.84441383462,13.668261249210278,0.007377529269410085,0.2471312241503142,0.0,0.0432954410165346,0.3431550916392315
2024-12-15,1242147.2262824688,1038537.1111405428,1524748.6111695955,1253628.3456811104,-11481.119398641633,13.668261249210278,-0.2450587154509786,0.24626909009652967,0.0,0.02878938412161158,0.3432923708991207
2024-12-16,2327875.3194270423,2034679.6273952909,2599338.726192635,2247489.653946275,80385.66548076738,13.668261249210278,0.3565937559905039,0.24263837273359457,0.0,0.014402114352501771,0.3434293946102628
2024-12-17,2447675.3528549112,2153894.0108847604,2708821.906490336,2320890.4305409435,126784.92231396772,13.668261249210278,0.4036367057837319,0.24177623867981007,0.0,0.0002215506978971351,0.34356616277265806
2024-12-18,2453925.490192559,2110132.9145120005,2714293.8381597805,2320732.4873407995,133193.00285175955,13.668261249210278,0.4181816818772549,0.24091410462602555,0.0,-0.013665859088336186,0.3437026753863067
