date,y
2015-08-07,1131873.0
2015-08-08,721451.0
2015-08-09,581369.0
2015-08-10,1074852.0
2015-08-11,1078639.0
2015-08-12,1081514.0
2015-08-13,1069083.0
2015-08-14,1053905.0
2015-08-15,657797.0
2015-08-16,567764.0
2015-08-17,1028269.0
2015-08-18,1082739.0
2015-08-19,1065021.0
2015-08-20,1056605.0
2015-08-21,1030741.0
2015-08-22,686711.0
2015-08-23,558034.0
2015-08-24,1085215.0
2015-08-25,1126517.0
2015-08-26,1151660.0
2015-08-27,1166591.0
2015-08-28,1177558.0
2015-08-29,781069.0
2015-08-30,618149.0
2015-08-31,1291588.0
2015-09-01,1532972.0
2015-09-02,1600094.0
2015-09-03,1647166.0
2015-09-04,1667631.0
2015-09-05,949714.0
2015-09-06,747919.0
2015-09-07,1691300.0
2015-09-08,1761476.0
2015-09-09,1782168.0
2015-09-10,1825763.0
2015-09-11,1868815.0
2015-09-12,1061985.0
2015-09-13,816697.0
2015-09-14,1766044.0
2015-09-15,1830322.0
2015-09-16,1858276.0
2015-09-17,1865821.0
2015-09-18,1922227.0
2015-09-19,1098627.0
2015-09-20,793254.0
2015-09-21,1831420.0
2015-09-22,1873487.0
2015-09-23,1887785.0
2015-09-24,1910074.0
2015-09-25,1954484.0
2015-09-26,1107694.0
2015-09-27,798336.0
2015-09-28,1871155.0
2015-09-29,1919525.0
2015-09-30,1955724.0
2015-10-01,2030172.0
2015-10-02,2089080.0
2015-10-03,1183376.0
2015-10-04,883901.0
2015-10-05,2018219.0
2015-10-06,2050152.0
2015-10-07,2079160.0
2015-10-08,2096358.0
2015-10-09,2080348.0
2015-10-10,1149521.0
2015-10-11,913273.0
2015-10-12,888462.0
2015-10-13,2040291.0
2015-10-14,2098670.0
2015-10-15,2129849.0
2015-10-16,2183358.0
2015-10-17,1258385.0
2015-10-18,843705.0
2015-10-19,2044469.0
2015-10-20,2079094.0
2015-10-21,2116929.0
2015-10-22,2105987.0
2015-10-23,2158356.0
2015-10-24,1256207.0
2015-10-25,926677.0
2015-10-26,2053947.0
2015-10-27,2109040.0
2015-10-28,2134721.0
2015-10-29,2135868.0
2015-10-30,2189416.0
2015-10-31,1280418.0
2015-11-01,895841.0
2015-11-02,1936987.0
2015-11-03,2137825.0
2015-11-04,2135275.0
2015-11-05,2142017.0
2015-11-06,2116325.0
2015-11-07,1203462.0
2015-11-08,907305.0
2015-11-09,959907.0
2015-11-10,2064448.0
2015-11-11,2101554.0
2015-11-12,2126389.0
2015-11-13,2226096.0
2015-11-14,1231188.0
2015-11-15,888300.0
2015-11-16,2018853.0
2015-11-17,2061233.0
2015-11-18,2062411.0
2015-11-19,2087839.0
2015-11-20,2148421.0
2015-11-21,1225829.0
2015-11-22,865139.0
2015-11-23,2020466.0
2015-11-24,2063251.0
2015-11-25,2111780.0
2015-11-26,2123788.0
2015-11-27,2272170.0
2015-11-28,1360405.0
2015-11-29,936088.0
2015-11-30,2031788.0
2015-12-01,2070873.0
2015-12-02,2127225.0
